ID,Context,Module,Task,Priority,Status,Assignee,Due,Notes
T001,"Khởi tạo project",glimpse,"Khởi tạo workspace, tạo module glimpse, thiết lập PKB (architecture.csv, memories.csv, todo.csv)","High","Done","Coder","2024-06-01","Đã khởi tạo workspace, tạo đầy đủ các file PKB, xác nhận cấu trúc chuẩn."
T002,"Thiết kế trait Readable",glimpse,"Định nghĩa trait Readable cho parsing zero-copy, thiết kế enum Fault","High","Done","Coder","2024-06-02","Đã định nghĩa trait Readable, Fault, xác nhận hoạt động với buffer mẫu."
T003,"Định nghĩa Packet/Header",glimpse,"Định nghĩa struct Header, Packet, triển khai Parser<Header>, Parser<Packet>","High","Done","Coder","2024-06-03","Đã định nghĩa Header, Packet, Parser, kiểm thử parsing cơ bản thành công."
T004,"Kiểm thử cơ bản",glimpse,"Viết unit test cho Parser<Header> và Parser<Packet> với buffer hợp lệ và underflow","High","Done","Coder","2024-06-04","Đã viết unit test cho Parser, xác nhận hoạt động đúng với các trường hợp hợp lệ và underflow."
T005,"Streaming processor cho parsing khối lớn",glimpse,"Viết struct Processor generic cho parser và source, quản lý buffer, xử lý boundary","High","Done","Guardian","2024-06-10","Đã hoàn thành trong lib.rs và được minh họa trong demo. Đã refactor toàn bộ nợ đặt tên, loại bỏ snake_case, PascalCase ghép từ, xác nhận codebase sạch."
T006,"Streaming processor cho parsing khối lớn",glimpse,"Tạo ví dụ đọc nhiều packet từ stream nhỏ, kiểm tra boundary","High","Done","Guardian","2024-06-10","Đã hoàn thành trong demo/src/main.rs. Đã refactor toàn bộ nợ đặt tên, xác nhận codebase sạch."
T007,"Tối ưu I/O với mmap",glimpse,"Nghiên cứu tích hợp mmap cho file lớn","High","Done","Guardian","2025-07-15","Đã tích hợp ví dụ mmap, parse 10.000 packet thành công trong demo/src/main.rs theo chỉ đạo Guardian. Đã refactor toàn bộ nợ đặt tên, xác nhận codebase sạch."
T008,"Song song hóa parsing",glimpse,"Đề xuất mô hình producer-consumer, thử nghiệm chia khối hợp lý","High","Done","Guardian","2025-07-20","Đã tích hợp song song hóa parsing với rayon, chunking thông minh, xử lý boundary, tổng hợp kết quả song song. Workspace hoàn toàn sạch, không còn vi phạm đặt tên, đã xác nhận bằng pre-commit."
T009,"Mở rộng Framework",glimpse,"Triển khai adapter 'Mapper' cho việc chuyển đổi dữ liệu","High","Done","Coder","2025-07-05","Đã hoàn thành và tích hợp thành công. Đã refactor toàn bộ nợ đặt tên, xác nhận codebase sạch."
T010,"Mở rộng Framework",glimpse,"Triển khai adapter 'Filter' cho việc sàng lọc dữ liệu","High","Done","Coder","2025-07-05","Đã hoàn thành và tích hợp thành công. Đã refactor toàn bộ nợ đặt tên, xác nhận codebase sạch."
T011,"Mở rộng Framework",glimpse,"Triển khai Fluent API (chaining methods) trên Processor","Medium","Done","Coder","2025-07-10","Đã hoàn thành, cải thiện đáng kể công thái học. Đã refactor toàn bộ nợ đặt tên, xác nhận codebase sạch."
T013,"Giai đoạn 2: Củng cố",glimpse,"Xây dựng bộ kiểm thử (unit test, integration test) toàn diện","High","Done","Coder",,"Đã hoàn thành unit test cho Parser và Processor. Đã giải quyết vấn đề borrow/lifetime với zero-copy bằng cách sử dụng 'Frame' (Owning Lens) pattern trong test. Đã refactor tên hàm test thành đơn từ, workspace sạch."
T014,"Xử lý Nợ kỹ thuật",glimpse,"Tái cấu trúc vòng lặp `while let` thành `for` theo đề xuất của clippy","Low","Done","Architect","2024-07-02","Phát hiện trong quá trình xác minh cuối cùng." 
